,date,year,month,day,daily_wind_speed,daily_precipitation,DailySustainedWindSpeed
0,2009-01-01,2009,1,1,11.041666666666666,0.0,0.0
1,2009-01-02,2009,1,2,6.59375,0.0,0.0
2,2009-01-03,2009,1,3,9.875,0.0,0.0
3,2009-01-04,2009,1,4,7.37037037037037,0.0,0.0
4,2009-01-05,2009,1,5,6.925925925925926,0.0,0.0
5,2009-01-06,2009,1,6,6.9,0.12,0.0
6,2009-01-07,2009,1,7,9.58974358974359,1.82,0.0
7,2009-01-08,2009,1,8,11.192307692307692,0.0,0.0
8,2009-01-09,2009,1,9,9.583333333333334,0.0,0.0
9,2009-01-10,2009,1,10,7.69811320754717,0.41,0.0
10,2009-01-11,2009,1,11,7.0,0.51,0.0
11,2009-01-12,2009,1,12,6.217391304347826,0.0,0.0
12,2009-01-13,2009,1,13,4.896551724137931,0.0,0.0
13,2009-01-14,2009,1,14,8.76923076923077,0.0,0.0
14,2009-01-15,2009,1,15,7.380952380952381,0.1,0.0
15,2009-01-16,2009,1,16,8.833333333333334,0.0,0.0
16,2009-01-17,2009,1,17,5.44,12.49,0.0
17,2009-01-18,2009,1,18,5.431818181818182,5.4,0.0
18,2009-01-19,2009,1,19,2.673076923076923,0.0,0.0
19,2009-01-20,2009,1,20,6.0,0.0,0.0
20,2009-01-21,2009,1,21,8.291666666666666,0.0,0.0
21,2009-01-22,2009,1,22,6.75,0.0,0.0
22,2009-01-23,2009,1,23,5.041666666666667,0.0,0.0
23,2009-01-24,2009,1,24,11.25,0.0,0.0
24,2009-01-25,2009,1,25,6.375,0.0,0.0
25,2009-01-26,2009,1,26,5.083333333333333,0.0,0.0
26,2009-01-27,2009,1,27,4.416666666666667,0.0,0.0
27,2009-01-28,2009,1,28,8.421875,2.17,0.0
28,2009-01-29,2009,1,29,8.375,0.0,0.0
29,2009-01-30,2009,1,30,6.333333333333333,0.0,0.0
30,2009-01-31,2009,1,31,8.333333333333334,0.0,0.0
31,2009-02-01,2009,2,1,7.541666666666667,0.0,0.0
32,2009-02-02,2009,2,2,5.083333333333333,0.0,0.0
33,2009-02-03,2009,2,3,7.867924528301887,0.5,0.0
34,2009-02-04,2009,2,4,7.666666666666667,0.0,0.0
35,2009-02-05,2009,2,5,9.666666666666666,0.0,0.0
36,2009-02-06,2009,2,6,5.416666666666667,0.0,0.0
37,2009-02-07,2009,2,7,3.75,0.0,0.0
38,2009-02-08,2009,2,8,9.625,0.0,0.0
39,2009-02-09,2009,2,9,5.916666666666667,0.0,0.0
